,Date,Open,High,Low,Close
285,2017-02-03,128.31,129.19,128.16,129.08
286,2017-02-02,127.975,129.39,127.78,128.53
287,2017-02-01,127.03,130.49,127.01,128.75
288,2017-01-31,121.15,121.39,120.62,121.35
289,2017-01-30,120.93,121.63,120.66,121.63
290,2017-01-27,122.14,122.35,121.6,121.95
291,2017-01-26,121.67,122.44,121.6,121.94
292,2017-01-25,120.42,122.1,120.28,121.88
293,2017-01-24,119.55,120.1,119.5,119.97
294,2017-01-23,120.0,120.81,119.77,120.08
295,2017-01-20,120.45,120.45,119.7346,120.0
296,2017-01-19,119.4,120.09,119.37,119.78
297,2017-01-18,120.0,120.5,119.71,119.99
298,2017-01-17,118.34,120.24,118.22,120.0
299,2017-01-13,119.11,119.62,118.81,119.04
300,2017-01-12,118.895,119.3,118.21,119.25
301,2017-01-11,118.74,119.93,118.6,119.75
302,2017-01-10,118.77,119.38,118.3,119.11
303,2017-01-09,117.95,119.43,117.94,118.99
304,2017-01-06,116.78,118.16,116.47,117.91
305,2017-01-05,115.92,116.8642,115.81,116.61
306,2017-01-04,115.85,116.51,115.75,116.02
307,2017-01-03,115.8,116.33,114.76,116.15
308,2016-12-30,116.65,117.2,115.43,115.82
309,2016-12-29,116.45,117.1095,116.4,116.73
310,2016-12-28,117.52,118.0166,116.2,116.76
311,2016-12-27,116.52,117.8,116.49,117.26
312,2016-12-23,115.59,116.52,115.59,116.52
313,2016-12-22,116.35,116.51,115.64,116.29
314,2016-12-21,116.8,117.4,116.78,117.06
315,2016-12-20,116.74,117.5,116.68,116.95
316,2016-12-19,115.8,117.38,115.75,116.64
317,2016-12-16,116.47,116.5,115.645,115.97
318,2016-12-15,115.38,116.73,115.23,115.82
319,2016-12-14,115.04,116.2,114.98,115.19
320,2016-12-13,113.84,115.92,113.75,115.19
321,2016-12-12,113.29,115.0,112.49,113.3
322,2016-12-09,112.31,114.7,112.31,113.95
323,2016-12-08,110.86,112.43,110.6,112.12
324,2016-12-07,109.26,111.19,109.16,111.03
325,2016-12-06,109.5,110.36,109.19,109.95
326,2016-12-05,110.0,110.03,108.25,109.11
327,2016-12-02,109.17,110.09,108.85,109.9
328,2016-12-01,110.365,110.94,109.03,109.49
329,2016-11-30,111.56,112.2,110.27,110.52
330,2016-11-29,110.78,112.03,110.07,111.46
331,2016-11-28,111.43,112.465,111.39,111.57
332,2016-11-25,111.13,111.87,110.95,111.79
333,2016-11-23,111.36,111.51,110.33,111.23
334,2016-11-22,111.95,112.42,111.4,111.8
335,2016-11-21,110.12,111.99,110.01,111.73
336,2016-11-18,109.72,110.54,109.66,110.06
337,2016-11-17,109.81,110.35,108.83,109.95
338,2016-11-16,106.7,110.23,106.6,109.99
339,2016-11-15,106.57,107.68,106.1593,107.11
340,2016-11-14,107.32,107.809,104.08,105.71
341,2016-11-11,106.92,108.87,106.55,108.43
342,2016-11-10,111.09,111.09,105.83,107.79
343,2016-11-09,109.88,111.32,108.05,110.88
344,2016-11-08,110.31,111.72,109.7,111.06
345,2016-11-07,110.08,110.51,109.46,110.41
346,2016-11-04,108.53,110.25,108.11,108.84
347,2016-11-03,110.98,111.46,109.55,109.83
348,2016-11-02,111.4,112.35,111.23,111.59
349,2016-11-01,113.46,113.77,110.53,111.49
350,2016-10-31,113.65,114.23,113.2,113.54
351,2016-10-28,113.87,115.21,113.45,113.72
352,2016-10-27,115.39,115.86,114.1,114.48
353,2016-10-26,114.31,115.7,113.31,115.59
354,2016-10-25,117.95,118.36,117.31,118.25
355,2016-10-24,117.1,117.74,117.0,117.65
356,2016-10-21,116.81,116.91,116.28,116.6
357,2016-10-20,116.86,117.38,116.33,117.06
358,2016-10-19,117.25,117.76,113.8,117.12
359,2016-10-18,118.18,118.21,117.45,117.47
360,2016-10-17,117.33,117.84,116.78,117.55
361,2016-10-14,117.88,118.17,117.13,117.63
362,2016-10-13,116.79,117.44,115.72,116.98
363,2016-10-12,117.35,117.98,116.75,117.34
364,2016-10-11,117.7,118.69,116.2,116.3
365,2016-10-10,115.02,116.75,114.72,116.05
366,2016-10-07,114.31,114.56,113.51,114.06
367,2016-10-06,113.7,114.34,113.13,113.89
368,2016-10-05,113.4,113.66,112.69,113.05
369,2016-10-04,113.06,114.31,112.63,113.0
370,2016-10-03,112.71,113.05,112.28,112.52
371,2016-09-30,112.46,113.37,111.8,113.05
372,2016-09-29,113.16,113.8,111.8,112.18
373,2016-09-28,113.69,114.64,113.43,113.95
374,2016-09-27,113.0,113.18,112.34,113.09
375,2016-09-26,111.64,113.39,111.55,112.88
376,2016-09-23,114.42,114.79,111.55,112.71
377,2016-09-22,114.35,114.94,114.0,114.62
378,2016-09-21,113.85,113.989,112.441,113.55
379,2016-09-20,113.05,114.12,112.51,113.57
380,2016-09-19,115.19,116.18,113.25,113.58
381,2016-09-16,115.12,116.13,114.04,114.92
382,2016-09-15,113.86,115.73,113.49,115.57
383,2016-09-14,108.73,113.03,108.6,111.77
384,2016-09-13,107.51,108.79,107.24,107.95
385,2016-09-12,102.65,105.72,102.53,105.44
386,2016-09-09,104.64,105.72,103.13,103.13
387,2016-09-08,107.25,107.27,105.24,105.52
388,2016-09-07,107.83,108.76,107.07,108.36
389,2016-09-06,107.9,108.3,107.51,107.7
390,2016-09-02,107.7,108.0,106.82,107.73
391,2016-09-01,106.14,106.8,105.62,106.73
392,2016-08-31,105.66,106.5699,105.64,106.1
393,2016-08-30,105.8,106.5,105.5,106.0
394,2016-08-29,106.62,107.44,106.29,106.82
395,2016-08-26,107.41,107.95,106.31,106.94
396,2016-08-25,107.39,107.88,106.68,107.57
397,2016-08-24,108.565,108.75,107.68,108.03
398,2016-08-23,108.59,109.32,108.53,108.85
399,2016-08-22,108.86,109.1,107.85,108.51
400,2016-08-19,108.77,109.69,108.36,109.36
401,2016-08-18,109.23,109.6,109.02,109.08
402,2016-08-17,109.1,109.37,108.34,109.22
403,2016-08-16,109.63,110.23,109.21,109.38
404,2016-08-15,108.14,109.54,108.08,109.48
405,2016-08-12,107.78,108.44,107.78,108.18
406,2016-08-11,108.52,108.93,107.85,107.93
407,2016-08-10,108.71,108.9,107.76,108.0
408,2016-08-09,108.23,108.94,108.01,108.81
409,2016-08-08,107.52,108.37,107.16,108.37
410,2016-08-05,106.27,107.65,106.18,107.48
411,2016-08-04,105.58,106.0,105.28,105.87
412,2016-08-03,104.81,105.84,104.77,105.79
413,2016-08-02,106.05,106.07,104.0,104.48
414,2016-08-01,104.41,106.15,104.41,106.05
415,2016-07-29,104.19,104.55,103.68,104.21
416,2016-07-28,102.83,104.45,102.82,104.34
417,2016-07-27,104.265,104.35,102.75,102.95
418,2016-07-26,96.82,97.97,96.42,96.67
419,2016-07-25,98.25,98.84,96.92,97.34
420,2016-07-22,99.26,99.3,98.31,98.66
421,2016-07-21,99.83,101.0,99.13,99.43
422,2016-07-20,100.0,100.46,99.735,99.96
423,2016-07-19,99.56,100.0,99.34,99.87
424,2016-07-18,98.7,100.13,98.6,99.83
425,2016-07-15,98.92,99.3,98.5,98.78
426,2016-07-14,97.39,98.99,97.32,98.79
427,2016-07-13,97.41,97.67,96.84,96.87
428,2016-07-12,97.17,97.7,97.12,97.42
429,2016-07-11,96.75,97.65,96.73,96.98
430,2016-07-08,96.49,96.89,96.05,96.68
431,2016-07-07,95.7,96.5,95.62,95.94
432,2016-07-06,94.6,95.66,94.37,95.53
433,2016-07-05,95.39,95.4,94.46,94.99
434,2016-07-01,95.49,96.465,95.33,95.89
435,2016-06-30,94.44,95.77,94.3,95.6
436,2016-06-29,93.97,94.55,93.63,94.4
437,2016-06-28,92.9,93.66,92.14,93.59
438,2016-06-27,93.0,93.05,91.5,92.04
439,2016-06-24,92.91,94.655,92.65,93.4
440,2016-06-23,95.94,96.29,95.25,96.1
441,2016-06-22,96.25,96.89,95.35,95.55
442,2016-06-21,94.94,96.35,94.676,95.91
